time,tx_hash,market,cost,payout,profit,dev_fee,A_balance,A_share_pct
2026-03-29 13:54:21 UTC,highest-temperature-in-taipei-on-march-28-2026-21c,,10.0,10.01,0.01,0.001,45.33,100.00%
2026-03-29 14:35:11 UTC,highest-temperature-in-warsaw-on-march-29-2026-16c,,10.0,10.01,0.01,0.001,45.34,100.00%
2026-03-29 14:54:48 UTC,j2100-gir-iwa-2026-03-29-draw,,10.0,10.01,0.01,0.001,45.35,100.00%
2026-03-29 15:44:14 UTC,cricpsl-lah-kar-2026-03-29-toss-winner,,5.93,5.9899,0.0599,0.006,45.41,100.00%
2026-03-29 17:57:12 UTC,will-molly-or-molotov-be-said-20-times-at-the-rotterdam-grand-final,,10.0,10.101,0.101,0.0101,45.51,100.00%
2026-03-29 17:57:12 UTC,will-pistol-be-said-20-times-at-the-rotterdam-grand-final,,10.0,10.101,0.101,0.0101,45.61,100.00%
2026-03-29 19:22:13 UTC,crint-gha-tza-2026-03-29-team-top-batter-tza,,10.0,10.02,0.02,0.002,45.63,100.00%
2026-03-29 19:42:30 UTC,cricpsl-lah-kar-2026-03-29-most-sixes-kar,,10.0,10.01,0.01,0.001,45.64,100.00%
2026-03-29 21:10:36 UTC,highest-temperature-in-toronto-on-march-29-2026-10corhigher,,6.27,7.125,0.855,0.0855,46.5,100.00%
2026-03-29 21:29:17 UTC,mlb-tb-stl-2026-03-29-total-8pt5,,10.0,10.01,0.01,0.001,46.51,100.00%
